thread_id                                                                         subject                                                                  message_count  participant_count  first       last      
<CAJ30B5Ms9te7The5GGh43hfdPiVYK9643uj0G60iXFY7B__ZQg@mail.gmail.com>              Re: SOITS Alumni                                                         5              3                  2024-09-09  2024-10-23
<75fe7625-87c6-4ef0-b25e-05170fc3d172@th-koeln.de>                                Fwd: Lehr- und Studienpreis                                              12             6                  2024-08-21  2024-10-04
<thread-6706/post-1@community.recurse.com>                                        [Community - General] 4 Free Covid Test Kits From USPS                   3              2                  2024-09-27  2024-09-27
<CANuEF9vD0+POdQay9jb+KF1BmFUDws2fYpdAncGajRg=_p5p5w@mail.gmail.com>              equity/taxes advice                                                      15             3                  2024-07-23  2024-09-18
<CAHBU7-BvM7000irdz1yXRMDiH5PkDvR7-sC6=i9qjboSnQx4Pw@mail.gmail.com>              Re: SOITS Alumni                                                         11             3                  2024-08-05  2024-09-09
<CANuEF9sj2=+Kv1ig-X2F1SaQx-+=BJjDBPkYLuBhwJULpQOa4Q@mail.gmail.com>              questions about our travelers insurance policy on our home               7              2                  2024-07-08  2024-07-17
<D4AF3C3D-7230-436A-9E07-87E61471C6B0@willlovemondays.com>                        Re: Termin Anfang Juli                                                   13             5                  2024-07-04  2024-07-08
<D1780D52-1C84-448E-8E21-0557446E72ED@me.com>                                     Re: Need to move our 6/24 get together                                   5              4                  2024-06-10  2024-07-01
<1758125762.2511891.1718122065628@mail.yahoo.com>                                 final draft for your review                                              5              2                  2024-06-11  2024-06-16
<7A9BF985-4885-4798-9F66-A8AD4D62A89D@me.com>                                     Need to move our 6/24 get together                                       3              3                  2024-06-09  2024-06-10
<CAJ30B5PO6OzXyPf95vX7Ng62_8KawD7FVukAAovVadwOxqo1rQ@mail.gmail.com>              Re: SOITS Alumni                                                         3              2                  2024-05-20  2024-05-20
